遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
大樂透,113000001,2024/01/02,94153750,1883075,52726100,4,14,18,21,36,38,01
大樂透,113000002,2024/01/05,101273350,2025467,79020651,2,20,23,30,35,47,40
大樂透,113000003,2024/01/09,104402400,2088048,102331060,12,29,31,37,44,49,03
大樂透,113000004,2024/01/12,104749750,2094995,127937062,4,25,29,38,42,46,06
大樂透,113000005,2024/01/16,104587000,2091740,150437239,1,3,20,21,36,40,44
大樂透,113000006,2024/01/19,102906750,2058135,59563903,1,3,7,19,31,46,40
大樂透,113000007,2024/01/23,92997300,1859946,75626575,2,14,17,26,27,47,04
大樂透,113000008,2024/01/26,102419000,2048380,100646267,2,11,20,34,46,47,40
大樂透,113000009,2024/01/30,106791850,2135837,130009363,7,19,30,38,40,45,27
大樂透,113000010,2024/02/02,108994850,2179897,153801864,5,9,25,35,38,39,24
大樂透,113000011,2024/02/06,215438650,4308773,235074395,14,19,23,26,34,40,05
大樂透,113000012,2024/02/07,147109300,2942186,244610583,20,22,31,34,35,37,07
大樂透,113000013,2024/02/08,183653950,3673079,298415973,5,8,25,31,39,47,22
大樂透,113000014,2024/02/09,289130550,5782611,401638006,3,7,16,20,25,30,37
大樂透,113000015,2024/02/10,311420200,6228404,471129718,5,6,11,13,28,34,04
大樂透,113000016,2024/02/11,271083500,5421670,189871373,11,13,23,29,44,45,27
大樂透,113000017,2024/02/12,248903050,4978061,139385708,16,22,37,46,47,49,04
大樂透,113000018,2024/02/13,190351800,3807036,165839964,2,3,6,39,44,47,34
大樂透,113000019,2024/02/14,272001450,5440029,256388582,7,12,19,26,32,39,44
大樂透,113000020,2024/02/15,197336000,3946720,171467009,4,8,18,19,20,33,03
大樂透,113000021,2024/02/16,188302250,3766045,105449260,19,24,33,42,43,45,16
大樂透,113000022,2024/02/17,164832950,3296659,138578609,4,5,20,27,32,40,06
大樂透,113000023,2024/02/18,151708250,3034165,167043467,6,12,24,32,36,44,45
大樂透,113000024,2024/02/19,148157600,2963152,152790571,2,10,17,32,38,48,08
大樂透,113000025,2024/02/20,156102700,3122054,89809645,6,8,17,27,34,46,25
大樂透,113000026,2024/02/21,138635750,2772715,110825611,13,21,25,27,31,43,47
大樂透,113000027,2024/02/22,136989650,2739793,142712339,9,11,18,31,39,46,05
大樂透,113000028,2024/02/23,154793450,3095869,181529578,3,8,9,21,34,49,22
大樂透,113000029,2024/02/24,140742000,2814840,206453986,8,15,21,27,46,48,31
大樂透,113000030,2024/02/27,114267850,2285357,224061364,7,15,17,29,41,42,28
大樂透,113000031,2024/03/01,119882400,2397648,253875867,1,29,30,39,46,47,17
大樂透,113000032,2024/03/05,134655600,2693112,293647375,10,15,21,24,26,38,37
大樂透,113000033,2024/03/08,132588250,2651765,323049182,7,26,27,29,36,40,32
大樂透,113000034,2024/03/12,147291700,2945834,355887325,3,13,22,27,45,49,17
大樂透,113000035,2024/03/15,102625750,2052515,57470420,8,18,33,37,40,43,31
大樂透,113000036,2024/03/19,102852250,2057045,81486336,8,14,19,20,21,36,28
大樂透,113000037,2024/03/22,100908850,2018177,102875314,4,16,38,40,41,48,35
大樂透,113000038,2024/03/26,98682250,1973645,123716344,6,19,21,29,32,46,11
大樂透,113000039,2024/03/29,98140150,1962803,146424590,2,3,13,15,43,48,01
大樂透,113000040,2024/04/02,102237750,2044755,168928265,27,32,38,39,46,49,24
大樂透,113000041,2024/04/05,101158800,2023176,194780189,4,31,35,38,40,48,18
大樂透,113000042,2024/04/09,110857850,2217157,226819825,3,16,17,19,22,26,01
大樂透,113000043,2024/04/12,94916950,1898339,135374177,3,5,12,15,17,39,24
大樂透,113000044,2024/04/16,93796550,1875931,133269461,5,8,17,33,35,40,10
大樂透,113000045,2024/04/19,91260750,1825215,52632458,7,10,16,22,31,46,42
大樂透,113000046,2024/04/23,94533100,1890662,77416581,13,14,17,32,33,36,31
大樂透,113000047,2024/04/26,84931000,1698620,96238256,13,21,22,26,33,34,35
大樂透,113000048,2024/04/30,92697000,1853940,115240326,3,9,13,22,33,43,14
大樂透,113000049,2024/05/03,96929350,1938587,139223486,6,11,12,22,34,39,42
大樂透,113000050,2024/05/07,100900750,2018015,162874413,7,9,15,28,30,33,26
大樂透,113000051,2024/05/10,102782150,2055643,179780389,15,19,30,35,38,41,25
大樂透,113000052,2024/05/14,106732550,2134651,208214281,6,7,10,25,32,43,33
大樂透,113000053,2024/05/17,111092700,2221854,236082215,15,33,34,40,41,49,27
大樂透,113000054,2024/05/21,130416000,2608320,142464377,1,30,34,35,38,42,15
大樂透,113000055,2024/05/24,136105000,2722100,76218800,4,23,24,28,30,40,41
大樂透,113000056,2024/05/28,135385400,2707708,150072233,12,17,18,21,33,37,09
大樂透,113000057,2024/05/31,135756750,2715135,78064430,8,14,16,19,23,32,49
大樂透,113000058,2024/06/04,132858100,2657162,103163003,7,30,33,34,35,46,49
大樂透,113000059,2024/06/07,138730850,2774617,146238770,19,24,29,36,37,43,17
大樂透,113000060,2024/06/11,144272950,2885459,150923162,7,10,12,27,36,46,18
大樂透,113000061,2024/06/14,122311550,2446231,68494468,1,7,9,18,36,47,32
大樂透,113000062,2024/06/18,119103850,2382077,93696383,6,24,31,35,36,42,18
大樂透,113000063,2024/06/21,114242150,2284843,135666577,2,17,31,42,44,46,10
大樂透,113000064,2024/06/25,108086800,2161736,62772616,6,8,12,29,41,48,14
大樂透,113000065,2024/06/28,110070150,2201403,88007336,10,11,25,31,36,41,27
大樂透,113000066,2024/07/02,110996050,2219921,108935418,1,33,38,39,41,45,46
大樂透,113000067,2024/07/05,125030400,2500608,143873340,2,11,20,25,37,49,42
大樂透,113000068,2024/07/09,94374550,1887491,154743195,15,18,19,31,39,40,25
大樂透,113000069,2024/07/12,99434350,1988687,180561732,2,13,19,33,46,49,23
大樂透,113000070,2024/07/16,103068050,2061361,208626255,4,12,22,29,36,47,15
大樂透,113000071,2024/07/19,105341700,2106834,229336669,11,13,25,28,33,40,31
大樂透,113000072,2024/07/23,110993850,2219877,255296849,3,6,10,23,33,35,24
大樂透,113000073,2024/07/26,87994100,1759882,263236916,6,19,23,35,41,46,08
大樂透,113000074,2024/07/30,91521400,1830428,51251984,5,15,24,35,46,48,17
大樂透,113000075,2024/08/02,90063650,1801273,71879122,2,4,5,15,20,33,25
大樂透,113000076,2024/08/06,93017700,1860354,90669950,20,27,31,33,38,46,23
大樂透,113000077,2024/08/09,93761850,1875237,113083429,14,20,27,42,44,47,40
大樂透,113000078,2024/08/13,95317050,1906341,140367374,2,28,30,37,40,48,08
大樂透,113000079,2024/08/16,94260800,1885216,162509707,4,6,14,31,44,45,01
大樂透,113000080,2024/08/20,98097100,1961942,183449014,12,13,18,28,39,49,02
大樂透,113000081,2024/08/23,104454550,2089091,210823098,16,20,32,34,37,43,17
大樂透,113000082,2024/08/27,93075350,1861507,52122196,12,22,24,38,40,46,21
大樂透,113000083,2024/08/30,91158050,1823161,74097974,2,17,25,29,32,38,24
大樂透,113000084,2024/09/03,138755800,2775116,119431000,5,22,25,27,36,41,11
大樂透,113000085,2024/09/06,143961400,2879228,151104723,9,15,17,38,45,49,47
大樂透,113000086,2024/09/10,155096450,3101929,191223557,6,14,16,25,35,38,31
大樂透,113000087,2024/09/13,158757700,3175154,227215634,13,17,26,39,43,48,03
大樂透,113000088,2024/09/17,190771300,3815426,279605809,26,34,35,40,44,46,32
大樂透,113000089,2024/09/20,159505000,3190100,308980285,4,8,18,30,35,49,11
大樂透,113000090,2024/09/24,154977650,3099553,339886536,5,13,14,16,37,48,39
大樂透,113000091,2024/09/27,160763350,3215267,379058668,2,3,5,21,45,49,47
大樂透,113000092,2024/10/01,172281350,3445627,423300478,10,12,13,19,27,33,30
大樂透,113000093,2024/10/04,157699750,3153995,447526549,12,17,19,27,38,42,40
大樂透,113000094,2024/10/08,117639900,2352798,68701635,3,5,7,31,33,45,19
大樂透,113000095,2024/10/11,120415600,2408312,92894018,7,9,12,21,26,32,27
大樂透,113000096,2024/10/15,115313250,2306265,111642501,5,10,13,28,39,41,49
大樂透,113000097,2024/10/18,123841400,2476828,141902077,14,20,26,43,45,49,07
大樂透,113000098,2024/10/22,100025200,2000504,160809964,2,24,29,30,38,49,47
大樂透,113000099,2024/10/25,100677150,2013543,186834490,7,19,25,35,36,38,42
大樂透,113000100,2024/10/29,108727700,2174554,208744169,19,26,36,38,39,49,16
大樂透,113000101,2024/11/01,99741450,1994829,229377960,6,10,23,27,34,47,22
大樂透,113000102,2024/11/05,120802200,2416044,262485798,4,17,21,30,41,49,48
大樂透,113000103,2024/11/08,123159950,2463199,295416950,1,11,42,46,47,49,07
大樂透,113000104,2024/11/12,129945550,2598911,329430230,11,25,26,33,34,41,27
大樂透,113000105,2024/11/15,95846900,1916938,53674264,24,25,30,36,41,43,21
大樂透,113000106,2024/11/19,93054550,1861091,76088548,5,7,11,22,25,44,13
大樂透,113000107,2024/11/22,93683700,1873674,93709701,14,16,22,33,36,48,03
大樂透,113000108,2024/11/26,96540300,1930806,132449788,11,40,42,45,47,49,27
大樂透,113000109,2024/11/29,92858150,1857163,55555207,13,20,28,32,38,49,46
大樂透,113000110,2024/12/3,97476400,1949528,137482582,5,6,7,12,17,35,45
大樂透,113000111,2024/12/6,97011500,1940230,55682260,9,15,18,33,44,47,28
大樂透,113000112,2024/12/10,98758850,1975177,79248134,1,5,8,26,47,49,38
大樂透,113000113,2024/12/13,95722150,1914443,94850891,7,11,28,29,38,39,33
大樂透,113000114,2024/12/17,97768300,1955366,115641083,8,10,22,24,31,34,44
大樂透,113000115,2024/12/20,94834800,1896696,136749945,3,8,18,26,40,46,22
大樂透,113000116,2024/12/24,96867750,1937355,156358845,5,9,10,29,35,48,13
大樂透,113000117,2024/12/27,106652150,2133043,181368819,21,26,28,30,32,34,40
大樂透,113000118,2024/12/31,122437200,2448744,218224364,10,25,34,35,42,48,21
